Time[s], Channel 0, Channel 1, Channel 2
14.8595347, 0, 0, 1
14.8595454, 0, 1, 1
14.8595558, 1, 1, 1
14.8595661, 0, 1, 1
14.8595871, 1, 1, 1
14.8595975, 0, 1, 1
14.8596082, 0, 0, 1
14.8596185, 1, 0, 1
14.8596289, 0, 0, 1
14.8596396, 0, 1, 1
14.8596499, 1, 1, 1
14.8596602, 0, 1, 1
14.8596709, 0, 0, 1
14.8596813, 1, 0, 1
14.8596916, 0, 0, 1
14.8597127, 1, 0, 1
14.8597230, 0, 0, 1
14.8597441, 1, 0, 1
14.8597544, 0, 0, 1
14.8597686, 1, 0, 1
14.8597791, 0, 0, 1
14.8597896, 1, 0, 1
14.8598000, 0, 0, 1
14.8598105, 1, 0, 1
14.8598210, 0, 0, 1
14.8598314, 1, 0, 1
14.8598419, 0, 0, 1
14.8598523, 1, 0, 1
14.8598628, 0, 0, 1
14.8598733, 1, 0, 1
14.8598837, 0, 0, 1
14.8598942, 1, 0, 1
14.8599084, 0, 0, 1
14.8599188, 1, 0, 1
14.8599293, 0, 0, 1
14.8599435, 1, 0, 1
14.8599540, 0, 0, 1
14.8599645, 1, 0, 1
14.8599749, 0, 0, 1
14.8599854, 1, 0, 1
14.8599959, 0, 0, 1
14.8600063, 1, 0, 1
14.8600168, 0, 0, 1
14.8600272, 1, 0, 1
14.8600377, 0, 0, 1
14.8600482, 1, 0, 1
14.8600586, 0, 0, 1
14.8600691, 1, 0, 1
14.8600796, 0, 0, 1
14.8600900, 1, 0, 1
14.8601005, 0, 0, 1
14.8602393, 1, 0, 1
14.8602496, 0, 0, 1
14.8602707, 1, 0, 1
14.8602810, 0, 0, 1
14.8602917, 0, 1, 1
14.8603021, 1, 1, 1
14.8603124, 0, 1, 1
14.8603334, 1, 1, 1
14.8603438, 0, 1, 1
14.8603545, 0, 0, 1
14.8603648, 1, 0, 1
14.8603752, 0, 0, 1
14.8603859, 0, 1, 1
14.8603962, 1, 1, 1
14.8604065, 0, 1, 1
14.8604173, 0, 0, 1
14.8604276, 1, 0, 1
14.8604379, 0, 0, 1
14.8604590, 1, 0, 1
14.8604693, 0, 0, 1
14.8604836, 1, 0, 1
14.8604940, 0, 0, 1
14.8605045, 1, 0, 1
14.8605150, 0, 0, 1
14.8605254, 1, 0, 1
14.8605359, 0, 0, 1
14.8605463, 1, 0, 1
14.8605568, 0, 0, 1
14.8605673, 1, 0, 1
14.8605777, 0, 0, 1
14.8605882, 1, 0, 1
14.8605987, 0, 0, 1
14.8606091, 1, 0, 1
14.8606196, 0, 0, 1
14.8606300, 1, 0, 1
14.8606405, 0, 0, 1
